trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
807,False,"{'a': 0.9, 'e': 0.0024991381899588383}",30,22,16.43244859758311,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
808,False,"{'a': 0.9, 'e': 0.0024743021390555286}",30,18,23.51641332349352,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.9, 'e': 0.0024497126018117044}",30,17,22.141305551533357,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
810,False,"{'a': 0.9, 'e': 0.002425367137423251}",20,10,20.961813289775478,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
811,False,"{'a': 0.9, 'e': 0.0024012633291343732}",30,18,22.936811942080617,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
812,False,"{'a': 0.9, 'e': 0.002377398784002893}",25,7,28.863170664727807,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
813,False,"{'a': 0.9, 'e': 0.002353771132667992}",25,15,20.016593366689605,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
814,False,"{'a': 0.9, 'e': 0.0023303780291201726}",20,13,15.73995500634265,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
815,False,"{'a': 0.9, 'e': 0.0023072171504732175}",20,7,24.29785595863138,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
816,False,"{'a': 0.9, 'e': 0.002284286196738483}",20,15,9.831398545463287,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
817,False,"{'a': 0.9, 'e': 0.002261582890601188}",25,16,18.175363919948122,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
818,False,"{'a': 0.9, 'e': 0.0022391049771993687}",20,2,27.801872595738857,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
819,False,"{'a': 0.9, 'e': 0.0022168502239041654}",20,9,18.85475765821048,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
820,False,"{'a': 0.9, 'e': 0.002194816420102663}",20,10,18.364699049666477,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,False,"{'a': 0.9, 'e': 0.0021730013769831746}",20,13,13.7249557324605,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
822,False,"{'a': 0.9, 'e': 0.002151402927321411}",25,7,27.896045327552688,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
823,False,"{'a': 0.9, 'e': 0.002130018925270205}",25,0,42.28296063140747,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
824,False,"{'a': 0.9, 'e': 0.002108847246150125}",20,14,11.174242798584467,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
825,False,"{'a': 0.9, 'e': 0.002087885786242527}",25,17,13.898802276432619,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
826,False,"{'a': 0.9, 'e': 0.0020671324625843868}",25,11,22.906481997159396,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
827,False,"{'a': 0.9, 'e': 0.0020465852127657946}",20,9,21.115433715803686,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
828,False,"{'a': 0.9, 'e': 0.0020262419947283394}",25,13,21.799968917317404,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.9, 'e': 0.002006100786566156}",25,10,28.213697187323167,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
830,False,"{'a': 0.9, 'e': 0.0019861595863285286}",25,13,23.541168655010576,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
831,False,"{'a': 0.9, 'e': 0.001966416411825156}",25,10,7.949057234550774,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
832,False,"{'a': 0.9, 'e': 0.0019468693004316417}",25,20,7.654517475273342,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
833,False,"{'a': 0.9, 'e': 0.00192751630889898}",30,19,23.00333051299142,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
834,False,"{'a': 0.9, 'e': 0.0019083555131630403}",20,13,14.129541784789893,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
835,False,"{'a': 0.9, 'e': 0.0018893850081570518}",35,17,37.31109310957183,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
836,False,"{'a': 0.9, 'e': 0.0018706029076253072}",30,21,17.473418344247495,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
837,False,"{'a': 0.9, 'e': 0.0018520073439389773}",25,7,33.893250166731974,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
838,False,"{'a': 0.9, 'e': 0.0018335964679134786}",25,17,16.12127413902014,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
839,False,"{'a': 0.9, 'e': 0.001815368448627508}",20,9,21.86514077538818,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
840,False,"{'a': 0.9, 'e': 0.0017973214732446285}",20,12,13.96696729260075,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
841,False,"{'a': 0.9, 'e': 0.0017794537468353022}",20,0,31.89967109770292,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
842,False,"{'a': 0.9, 'e': 0.0017617634922013625}",20,10,22.669178546617957,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
843,False,"{'a': 0.9, 'e': 0.0017442489497028202}",25,9,32.17796602520842,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
844,False,"{'a': 0.9, 'e': 0.0017269083770846683}",25,15,19.50481586300468,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
845,False,"{'a': 0.9, 'e': 0.001709740049307018}",25,8,31.829908119793316,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
846,False,"{'a': 0.9, 'e': 0.00169274225837579}",25,19,12.593883299716273,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
847,False,"{'a': 0.9, 'e': 0.0016759133131759585}",30,21,16.579058496039195,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
848,False,"{'a': 0.9, 'e': 0.0016592515393051288}",20,16,7.3853601851780315,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
849,False,"{'a': 0.9, 'e': 0.001642755278910335}",20,9,24.787640104251054,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
850,False,"{'a': 0.9, 'e': 0.0016264228905249478}",20,13,15.336295520320204,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
851,False,"{'a': 0.9, 'e': 0.0016102527489080254}",30,18,22.657918534856975,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
852,False,"{'a': 0.9, 'e': 0.0015942432448849964}",20,0,27.057366978170908,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
853,False,"{'a': 0.9, 'e': 0.0015783927851898971}",20,16,7.944259728977819,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
854,False,"{'a': 0.9, 'e': 0.0015626997923090524}",30,18,21.858540544160256,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
